case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
095AB379-F04E-473A-BC0D-8948B58E4090,bad_x_easy,0.000000,0.000000,0.000000,0.000000,1069.72,True,,,1,False,True,,3.26,3164,173,,
115,good_x_medium,0.787655,0.824582,0.946203,0.881216,146.73,True,,,1,False,True,,5.67,3680,521,,
118,good_x_easy,0.000000,0.000000,0.000000,0.000000,293.61,True,,,1,False,True,,2.63,3148,167,,
12:00115:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,1882.76,True,,,1,False,True,,3.15,2616,271,,
12:00125:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,959.90,True,,,1,False,True,,7.17,4212,727,,
12:00140:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1079.14,True,,,1,False,True,,15.87,2545,459,,
12:00154:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,905.97,True,,,1,False,True,,7.31,3148,371,,
12:00156:ART4,good_x_medium,0.038206,0.047922,0.158554,0.073599,1061.62,True,,,1,False,True,,2.68,2616,207,,
12:00161:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,2406.17,True,,,1,False,True,,4.35,4212,331,,
12:00162:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,3242.34,True,,,1,False,True,,4.47,3148,451,,
22,bad_x_easy,0.000000,0.000000,0.000000,0.000000,80.68,True,,,1,False,True,,4.32,5276,165,,
23:53161:ART4,good_x_medium,0.178579,0.179626,0.968394,0.303042,195.69,True,,,1,False,True,,4.76,2616,522,,
3DA282A7-E829-47CF-B842-E03E0C704072,good_x_hard,0.000000,0.000000,0.000000,0.000000,1259.61,True,,,1,False,True,,4.43,4212,499,,
498E1484-1D2E-418C-9547-A93AE9A57BB0,good_x_easy,0.000000,0.000000,0.000000,0.000000,1227.38,True,,,3,True,True,,4.74,4758,545,,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,bad_x_easy,0.000000,0.000000,0.000000,0.000000,847.27,True,,,1,False,True,,3.42,3148,271,,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,good_x_easy,0.000000,0.000000,0.000000,0.000000,1214.20,True,,,1,False,True,,3.69,4212,331,,
69,good_x_easy,0.000000,0.000000,0.000000,0.000000,76.10,True,,,1,False,True,,5.16,6872,178,,
A4D-04,bad_x_medium,0.141899,0.182487,0.389493,0.248531,2775.48,True,,,1,False,True,,5.68,5276,430,,
A4D-21,good_x_medium,0.000000,0.000000,0.000000,0.000000,2316.40,True,,,1,False,True,,7.09,3680,730,,
A4D-24,good_x_medium,0.000000,0.000000,0.000000,0.000000,742.57,True,,,1,False,True,,8.21,6340,739,,
A4DA01,good_x_medium,0.000937,0.001131,0.005442,0.001873,1431.51,True,,,1,False,True,,5.40,3692,432,,
A4Ha1,good_x_hard,0.169404,0.188087,0.630367,0.289727,442.51,True,,,4,True,True,,6.59,2084,818,,
A4Sa1,good_x_hard,0.121338,0.307920,0.166837,0.216416,512.68,True,,,1,False,True,,5.01,2084,542,,
A4_088:LL:016,good_x_medium,0.000000,0.000000,0.000000,0.000000,607.73,True,,,1,False,True,,4.03,3148,423,,
ART4:66:00001,good_x_easy,0.000000,0.000000,0.000000,0.000000,1811.49,True,,,1,False,True,,3.93,3148,379,,
Ar4.15,good_x_medium,0.000000,0.000000,0.000000,0.000000,1495.77,True,,,1,False,True,,4.41,2616,418,,
Ar4.2,good_x_easy,0.000000,0.000000,0.000000,0.000000,642.07,True,,,1,False,True,,5.81,6872,375,,
Ar4.25,good_x_easy,0.120655,0.152844,0.364236,0.215330,272.79,True,,,1,False,True,,3.30,3148,207,,
Ar4.27,good_x_easy,0.391319,0.674564,0.482388,0.562515,76.93,True,,,1,False,True,,4.85,3148,372,,
Ar4.5,bad_x_medium,0.072923,0.083575,0.363931,0.135933,1717.24,True,,,1,False,True,,5.72,4250,424,,
Ar4.8,bad_x_easy,0.000000,0.000000,0.000000,0.000000,2027.32,True,,,1,False,True,,5.25,3680,493,,
Art4D05,good_x_medium,0.013424,0.025178,0.027953,0.026493,692.09,True,,,1,False,True,,6.26,2616,756,,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,bad_x_medium,0.000000,0.000000,0.000000,0.000000,181.54,True,,,1,False,True,,4.16,5276,407,,
CPA4(4a),good_x_easy,0.000000,0.000000,0.000000,0.000000,1874.80,True,,,1,False,True,,6.35,4744,353,,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,good_x_easy,0.000000,0.000000,0.000000,0.000000,390.95,True,,,1,False,True,,4.69,3164,452,,
REG_4:36880,bad_x_hard,0.074074,0.131690,0.144792,0.137930,560.04,True,,,1,False,True,,5.04,3680,600,,
SSA401,good_x_easy,0.000000,0.000000,0.000000,0.000000,934.80,True,,,1,False,True,,3.90,2616,318,,
SSA410,good_x_easy,0.000000,0.000000,0.000000,0.000000,985.30,True,,,1,False,True,,2.77,2616,212,,
SSA414,good_x_medium,0.000000,0.000000,0.000000,0.000000,811.24,True,,,1,False,True,,4.39,2616,522,,
SSA415,good_x_easy,0.000000,0.000000,0.000000,0.000000,350.85,True,,,1,False,True,,3.80,3148,233,,
